"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote"
"DECK","Deckers Outdoor Corporation","47.82","$1.55B","1993","Consumer Non-Durables","Shoe Manufacturing","http://www.nasdaq.com/symbol/deck"
"DE","Deere & Company","78.42","$24.84B","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/de"
"DEX","Delaware Enhanced Global Dividend","8.4","$133.25M","2007","n/a","n/a","http://www.nasdaq.com/symbol/dex"
"DDF","Delaware Investments Dividend & Income Fund, Inc.","7.99","$71.65M","1993","n/a","n/a","http://www.nasdaq.com/symbol/ddf"
"DKL","Delek Logistics Partners, L.P.","27.48","$666.39M","2012","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/dkl"
"DK","Delek US Holdings, Inc.","13.96","$868.35M","2006","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/dk"
"DLPH","Delphi Automotive plc","59.43","$16.65B","2011","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/dlph"
"DAL","Delta Air Lines, Inc.","42.01","$33.04B","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/dal"
"DEL","Deltic Timber Corporation","54.38","$675.91M","n/a","Basic Industries","Forest Products","http://www.nasdaq.com/symbol/del"
"DLX","Deluxe Corporation","51.94","$2.56B","n/a","Consumer Durables","Publishing","http://www.nasdaq.com/symbol/dlx"
"DMD","Demand Media Inc.","4.57","$91.73M","2011","Technology","EDP Services","http://www.nasdaq.com/symbol/dmd"
"DWRE","DEMANDWARE, INC.","37.05","$1.4B","2012","Technology","EDP Services","http://www.nasdaq.com/symbol/dwre"
"DNR","Denbury Resources Inc.","1.56","$547.81M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/dnr"
"DKT","Deutsch Bk Contingent Cap Tr V","23.44","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/dkt"
"DB","Deutsche Bank AG","16.89","$23.28B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/db"
"DTK","Deutsche Bank AG","22.86","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/dtk"
"DXB","Deutsche Bank AG","22.21","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/dxb"
"DVN","Devon Energy Corporation","24.85","$10.21B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/dvn"
"DV","DeVry Education Group Inc.","17.03","$1.08B","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/dv"
"DHX","DHI Group, Inc.","8.08","$425.5M","2007","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/dhx"
"DHT","DHT Holdings, Inc.","5.83","$541.32M","2005","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dht"
"DEO","Diageo plc","104.44","$65.65B","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/deo"
"DO","Diamond Offshore Drilling, Inc.","18.85","$2.59B","1995","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/do"
"DRII","Diamond Resorts International, Inc.","17.09","$1.23B","2013","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/drii"
